iter	Passed	Remaining
241	324	1017
242	325	1013
243	325	1009
244	326	1006
245	327	1003
246	327	999
247	328	996
248	329	992
249	329	989
250	330	985
251	331	982
252	331	979
253	332	976
254	332	972
255	333	969
256	334	966
257	334	962
258	335	959
259	336	956
260	337	954
261	337	951
262	338	948
263	339	945
264	339	942
265	340	939
266	341	936
267	341	933
268	342	930
269	342	927
270	343	924
271	344	921
272	344	918
273	345	915
274	346	912
275	346	909
276	347	906
277	348	903
278	348	901
279	349	898
280	349	895
281	350	892
282	351	890
283	352	887
284	352	885
285	353	882
286	354	879
287	354	876
288	355	874
289	355	871
290	356	868
291	357	866
292	357	863
293	358	860
294	359	858
295	359	855
296	360	853
297	361	852
298	362	850
299	363	847
300	364	845
301	364	843
302	365	840
303	366	838
304	367	836
305	367	834
306	368	832
307	369	829
308	369	827
309	370	824
310	371	822
311	371	819
312	372	817
313	372	814
314	373	812
315	374	809
316	374	807
317	375	805
318	376	802
319	376	800
320	377	798
321	377	795
322	378	793
323	379	791
324	379	788
325	380	787
326	381	785
327	382	783
328	383	781
329	383	779
330	384	777
331	385	775
332	385	772
333	386	770
334	387	768
335	387	765
336	388	763
337	388	761
338	389	759
339	390	757
340	390	754
341	391	752
342	391	750
343	392	748
344	393	746
345	393	744
346	394	742
347	395	740
348	395	738
349	396	737
350	397	735
351	398	732
352	398	731
353	399	729
354	400	727
355	401	725
356	401	723
357	402	722
358	403	720
359	404	718
360	405	716
361	405	715
362	406	713
363	407	712
364	408	710
365	409	708
366	409	706
367	410	705
368	411	703
369	412	702
370	412	700
371	413	698
372	414	696
373	414	694
374	415	692
375	416	690
376	416	688
377	417	686
378	417	684
379	418	682
380	419	681
381	419	679
382	420	677
383	421	675
384	421	673
385	422	671
386	423	670
387	423	668
388	424	666
389	425	665
390	426	663
391	426	661
392	427	660
393	427	658
394	428	656
395	429	654
396	429	652
397	430	651
398	431	649
399	431	647
400	432	645
401	432	644
402	433	642
403	434	640
404	434	638
405	435	637
406	436	635
407	436	633
408	437	631
409	438	630
410	439	629
411	439	627
412	440	626
413	441	624
414	442	623
415	442	621
416	443	619
417	443	618
418	444	616
419	445	614
420	445	613
421	446	611
422	446	609
423	447	608
424	448	606
425	448	604
426	449	603
427	450	601
428	450	600
429	451	598
430	452	596
431	452	595
432	453	593
433	454	592
434	454	590
435	455	589
436	456	587
437	457	586
438	457	584
439	458	583
440	458	581
441	459	580
442	460	578
443	460	577
444	461	575
445	462	573
446	462	572
447	463	570
448	464	569
449	464	567
450	465	566
451	465	564
452	466	563
453	467	561
454	467	560
455	468	558
456	469	557
457	470	556
458	470	555
459	471	553
460	472	552
461	474	553
462	476	552
463	477	551
464	477	549
465	478	548
466	479	547
467	480	546
468	481	544
469	482	543
470	483	542
471	483	541
472	484	539
473	485	538
474	485	537
475	487	536
476	488	535
477	488	533
478	489	532
479	490	531
480	490	529
481	491	528
482	492	527
483	493	525
484	494	524
485	494	523
486	495	522
487	496	521
488	497	519
489	498	518
490	499	517
491	500	516
492	502	516
493	503	515
494	504	514
495	504	513
496	505	511
497	506	510
498	507	509
499	508	508
500	508	506
501	509	505
502	510	504
503	511	503
504	512	502
505	513	500
506	513	499
507	514	498
508	515	497
509	516	496
510	518	495
511	519	494
512	519	493
513	520	492
514	521	490
515	521	489
516	522	488
517	523	487
518	524	486
519	525	484
520	525	483
521	526	482
522	527	481
523	528	479
524	528	478
525	529	477
526	530	476
527	532	475
528	532	474
529	533	473
530	534	471
531	535	470
532	535	469
533	536	468
534	537	466
535	537	465
536	538	464
537	539	462
538	539	461
539	540	460
540	541	459
541	541	457
542	542	456
543	543	455
544	544	454
545	545	453
546	546	452
547	547	451
548	548	450
549	549	449
550	549	448
551	550	446
552	551	445
553	551	444
554	552	443
555	553	441
556	553	440
557	554	439
558	555	438
559	556	436
560	556	435
561	557	434
562	558	433
563	559	432
564	560	431
565	561	430
566	562	429
567	563	428
568	563	427
569	564	425
570	565	424
571	565	423
572	566	422
573	567	421
574	568	419
575	568	418
576	569	417
577	570	416
578	570	415
579	571	413
580	572	412
581	573	411
582	574	410
583	575	410
584	576	409
585	577	407
586	578	406
587	579	405
588	580	404
589	580	403
590	581	402
591	582	401
592	582	399
593	583	398
594	584	397
595	584	396
596	585	395
597	586	394
598	586	392
599	587	391
600	588	390
601	589	389
602	591	389
603	591	388
604	592	386
605	593	385
606	593	384
607	594	383
608	595	382
609	595	381
610	596	379
611	597	378
612	598	377
613	598	376
614	599	375
615	600	374
616	601	373
617	601	372
618	602	370
619	603	369
620	604	369
621	606	368
622	607	367
623	607	366
624	608	365
625	609	363
626	609	362
627	610	361
628	611	360
629	611	359
630	612	358
631	613	357
632	613	355
633	614	354
634	615	353
635	615	352
636	616	351
637	617	350
638	617	349
639	619	348
640	620	347
641	621	346
642	621	345
643	622	344
644	623	342
645	623	341
646	624	340
647	625	339
648	625	338
649	626	337
650	627	336
651	627	335
652	628	333
653	628	332
654	629	331
655	630	330
656	630	329
657	631	328
658	632	327
659	633	326
660	634	325
661	635	324
662	636	323
663	636	322
664	637	321
665	638	320
666	638	318
667	639	317
668	640	316
669	640	315
670	641	314
671	642	313
672	643	312
673	643	311
674	644	310
675	644	309
676	645	308
677	646	306
678	647	305
679	648	305
680	649	304
681	649	303
682	650	301
683	651	300
684	652	299
685	652	298
686	653	297
687	653	296
688	654	295
689	655	294
690	655	293
691	656	292
692	657	291
693	657	290
694	658	288
695	659	287
696	659	286
697	660	285
698	660	284
699	661	283
700	663	282
701	663	281
702	664	280
703	664	279
704	665	278
705	666	277
706	666	276
707	667	275
708	668	274
709	668	273
710	669	272
711	669	270
712	670	269
713	671	268
714	671	267
715	672	266
716	673	265
717	673	264
718	674	263
719	674	262
720	675	261
721	676	260
722	677	259
723	678	258
724	679	257
725	679	256
726	680	255
727	680	254
728	681	253
729	682	252
730	682	251
731	683	250
732	684	249
733	684	248
734	685	247
735	685	246
736	686	244
737	687	243
738	687	242
739	688	241
740	688	240
741	689	239
742	690	238
743	690	237
744	691	236
745	692	235
746	693	234
747	694	233
748	694	232
749	695	231
750	696	230
751	696	229
752	697	228
753	697	227
754	698	226
755	699	225
756	699	224
757	700	223
758	701	222
759	701	221
760	702	220
761	702	219
762	703	218
763	704	217
764	704	216
765	705	215
766	706	214
767	707	213
768	707	212
769	708	211
770	709	210
771	709	209
772	710	208
773	711	207
774	711	206
775	712	205
776	712	204
777	713	203
778	714	202
779	714	201
780	715	200
781	716	199
782	716	198
783	717	197
784	718	196
785	718	195
786	719	194
787	719	193
788	720	192
789	721	191
790	722	190
791	723	189
792	723	188
793	724	187
794	725	186
795	725	186
796	726	185
797	727	184
798	727	183
799	728	182
800	729	181
801	729	180
802	730	179
803	731	178
804	731	177
805	732	176
806	732	175
807	733	174
808	734	173
809	735	172
810	736	171
811	737	170
812	738	169
813	738	168
814	739	167
815	740	166
816	740	165
817	741	164
818	741	163
819	742	162
820	743	162
821	743	161
822	744	160
823	745	159
824	745	158
825	746	157
826	747	156
827	747	155
828	748	154
829	748	153
830	749	152
831	750	151
832	751	150
833	752	149
834	753	148
835	754	147
836	755	147
837	755	146
838	756	145
839	757	144
840	758	143
841	758	142
842	759	141
843	760	140
844	760	139
845	761	138
846	762	137
847	762	136
848	763	135
849	764	134
850	764	133
851	765	132
852	766	132
853	766	131
854	767	130
855	768	129
856	768	128
857	769	127
858	770	126
859	770	125
860	771	124
861	771	123
862	772	122
863	773	121
864	773	120
865	774	119
866	774	118
867	775	117
868	776	117
869	776	116
870	777	115
871	778	114
872	778	113
873	779	112
874	780	111
875	781	110
876	782	109
877	782	108
878	783	107
879	784	106
880	784	105
881	785	105
882	785	104
883	786	103
884	787	102
885	787	101
886	788	100
887	789	99
888	789	98
889	790	97
890	791	96
891	792	95
892	792	94
893	793	94
894	793	93
895	794	92
896	795	91
897	796	90
898	797	89
899	797	88
900	798	87
901	799	86
902	799	85
903	800	84
904	800	84
905	801	83
906	802	82
907	802	81
908	803	80
909	804	79
910	804	78
911	805	77
912	806	76
913	806	75
914	807	75
915	808	74
916	808	73
917	809	72
918	810	71
919	811	70
920	812	69
921	812	68
922	813	67
923	814	67
924	815	66
925	815	65
926	816	64
927	817	63
928	817	62
929	818	61
930	819	60
931	820	59
932	821	58
933	822	58
934	822	57
935	823	56
936	824	55
937	825	54
938	826	53
939	827	52
940	827	51
941	828	51
942	829	50
943	830	49
944	831	48
945	831	47
946	832	46
947	833	45
948	833	44
949	834	43
950	835	43
951	836	42
952	837	41
953	837	40
954	838	39
955	839	38
956	840	37
957	841	36
958	842	36
959	842	35
960	843	34
961	844	33
962	844	32
963	845	31
964	846	30
965	847	29
966	847	28
967	848	28
968	849	27
969	850	26
970	851	25
971	851	24
972	852	23
973	853	22
974	855	21
975	856	21
976	857	20
977	858	19
978	858	18
979	859	17
980	860	16
981	860	15
982	861	14
983	862	14
984	862	13
985	863	12
986	863	11
987	864	10
988	865	9
989	865	8
990	866	7
991	867	6
992	868	6
993	868	5
994	870	4
995	871	3
996	872	2
997	873	1
998	873	0
999	874	0
